data_arc_in_days,observations_used,orbit_uncertainty,minimum_orbit_intersection,eccentricity,perihelion_distance,perihelion_time,absolute_magnitude,relative_velocity,hazardous,estimated_diameter
12701.0,1289,0,0.124062,0.1973583241499839,1.066828415222631,2461109.0740503585,17.43,12.5553014078,False,1.40456750555
1826.0,550,0,0.000495246,0.2299638437938092,0.7745456922984908,2460867.2807146627,22.66,14.9504848724,False,0.1263405074
9093.0,920,0,0.087413,0.2806050071913382,1.062360541580652,2461024.147564007,17.92,25.9003789546,False,1.12083740735
26060.0,407,0,0.41145,0.2565028377190464,1.211566438029067,2461032.984571348,17.5,18.1072874811,False,1.36001161325
16722.0,556,0,0.147421,0.2245802700161569,0.8528753103511496,2461201.5085147014,18.87,13.946911577,False,0.7236734120999999
12944.0,356,0,0.132313,0.3439320906724762,1.092300689424967,2460721.0586214326,18.27,5.9504640841,False,0.953987352
25574.0,1154,0,0.0139817,0.2645370138763057,0.6728058063207912,2461065.7258419422,19.61,9.5287954543,True,0.51468631015
12418.0,1175,0,0.038321,0.36329629955493,0.9090463976935004,2460856.1895718775,19.06,7.8108505018,True,0.66304440835
12040.0,5568,0,0.0473022,0.2810413458963797,1.003151470269352,2461027.634075651,20.87,5.9506765638,True,0.2880995745
11984.0,1037,0,0.0659597,0.4743623698941402,0.6067677315562074,2461209.570363625,18.37,11.7827578362,False,0.9110508482999999
722.0,1647,0,0.0396915,0.3832284321571334,1.013087019677958,2460643.3336277353,18.11,8.9783810123,True,1.0269341987
9149.0,532,0,0.0129663,0.5396796390543999,0.5022385183370809,2461205.33091077,19.3,21.1930311324,True,0.5936666012
9064.0,1321,0,0.0922123,0.7200314329158551,0.277438126351693,2460894.0864187353,18.15,19.2133347063,False,1.00819053715
13942.0,814,0,0.0588684,0.5725398265720284,0.3656299422393544,2460979.9399622353,19.27,15.7714902857,False,0.6019253263
15562.0,695,0,0.0955086,0.120144217027292,1.054616471075623,2461122.9381693145,18.84,11.4214545775,False,0.7337407120999999
